rel_compact,surface,wall,roof,height,orientation,glazing_area,glazing_area_dist,heating_load,cooling_load
0.98,514.50,294.00,110.25,7.00,2,0.00,0,16.00,21.00
0.98,514.50,294.00,110.25,7.00,3,0.00,0,16.00,21.00
0.98,514.50,294.00,110.25,7.00,4,0.00,0,16.00,21.00
0.98,514.50,294.00,110.25,7.00,5,0.00,0,16.00,21.00
0.90,563.50,318.50,122.50,7.00,2,0.00,0,21.00,28.00
0.90,563.50,318.50,122.50,7.00,3,0.00,0,21.00,25.00
0.90,563.50,318.50,122.50,7.00,4,0.00,0,21.00,25.00
0.90,563.50,318.50,122.50,7.00,5,0.00,0,20.00,30.00
0.86,588.00,294.00,147.00,7.00,2,0.00,0,20.00,27.00
0.86,588.00,294.00,147.00,7.00,3,0.00,0,20.00,22.00
0.86,588.00,294.00,147.00,7.00,4,0.00,0,19.00,23.00
0.86,588.00,294.00,147.00,7.00,5,0.00,0,18.00,28.00
0.82,612.50,318.50,147.00,7.00,2,0.00,0,17.00,24.00
0.82,612.50,318.50,147.00,7.00,3,0.00,0,17.00,21.00
0.82,612.50,318.50,147.00,7.00,4,0.00,0,17.00,21.00
0.82,612.50,318.50,147.00,7.00,5,0.00,0,16.00,25.00
0.79,637.00,343.00,147.00,7.00,2,0.00,0,29.00,38.00
0.79,637.00,343.00,147.00,7.00,3,0.00,0,30.00,31.00
0.79,637.00,343.00,147.00,7.00,4,0.00,0,30.00,31.00
0.79,637.00,343.00,147.00,7.00,5,0.00,0,29.00,39.00
0.76,661.50,416.50,122.50,7.00,2,0.00,0,25.00,30.00
0.76,661.50,416.50,122.50,7.00,3,0.00,0,24.00,30.00
0.76,661.50,416.50,122.50,7.00,4,0.00,0,25.00,30.00
0.76,661.50,416.50,122.50,7.00,5,0.00,0,24.00,29.00
0.74,686.00,245.00,220.50,3.50,2,0.00,0,6.00,11.00
0.74,686.00,245.00,220.50,3.50,3,0.00,0,6.00,11.00
0.74,686.00,245.00,220.50,3.50,4,0.00,0,6.00,11.00
0.74,686.00,245.00,220.50,3.50,5,0.00,0,6.00,11.00
0.71,710.50,269.50,220.50,3.50,2,0.00,0,6.00,11.00
0.71,710.50,269.50,220.50,3.50,3,0.00,0,6.00,12.00
0.71,710.50,269.50,220.50,3.50,4,0.00,0,6.00,11.00
0.71,710.50,269.50,220.50,3.50,5,0.00,0,6.00,12.00
0.69,735.00,294.00,220.50,3.50,2,0.00,0,7.00,12.00
0.69,735.00,294.00,220.50,3.50,3,0.00,0,7.00,12.00
0.69,735.00,294.00,220.50,3.50,4,0.00,0,7.00,12.00
0.69,735.00,294.00,220.50,3.50,5,0.00,0,7.00,12.00
0.66,759.50,318.50,220.50,3.50,2,0.00,0,7.00,12.00
0.66,759.50,318.50,220.50,3.50,3,0.00,0,7.00,12.00
0.66,759.50,318.50,220.50,3.50,4,0.00,0,7.00,12.00
0.66,759.50,318.50,220.50,3.50,5,0.00,0,7.00,12.00
0.64,784.00,343.00,220.50,3.50,2,0.00,0,11.00,17.00
0.64,784.00,343.00,220.50,3.50,3,0.00,0,11.00,17.00
0.64,784.00,343.00,220.50,3.50,4,0.00,0,11.00,17.00
0.64,784.00,343.00,220.50,3.50,5,0.00,0,11.00,17.00
0.62,808.50,367.50,220.50,3.50,2,0.00,0,9.00,12.00
0.62,808.50,367.50,220.50,3.50,3,0.00,0,8.00,12.00
0.62,808.50,367.50,220.50,3.50,4,0.00,0,8.00,12.00
0.62,808.50,367.50,220.50,3.50,5,0.00,0,9.00,12.00
0.98,514.50,294.00,110.25,7.00,2,0.10,1,25.00,26.00
0.98,514.50,294.00,110.25,7.00,3,0.10,1,25.00,26.00
0.98,514.50,294.00,110.25,7.00,4,0.10,1,25.00,26.00
0.98,514.50,294.00,110.25,7.00,5,0.10,1,25.00,26.00
0.90,563.50,318.50,122.50,7.00,2,0.10,1,29.00,33.00
0.90,563.50,318.50,122.50,7.00,3,0.10,1,30.00,30.00
0.90,563.50,318.50,122.50,7.00,4,0.10,1,29.00,30.00
0.90,563.50,318.50,122.50,7.00,5,0.10,1,28.00,34.00
0.86,588.00,294.00,147.00,7.00,2,0.10,1,26.00,31.00
0.86,588.00,294.00,147.00,7.00,3,0.10,1,27.00,26.00
0.86,588.00,294.00,147.00,7.00,4,0.10,1,26.00,27.00
0.86,588.00,294.00,147.00,7.00,5,0.10,1,25.00,32.00
0.82,612.50,318.50,147.00,7.00,2,0.10,1,24.00,27.00
0.82,612.50,318.50,147.00,7.00,3,0.10,1,24.00,25.00
0.82,612.50,318.50,147.00,7.00,4,0.10,1,24.00,25.00
0.82,612.50,318.50,147.00,7.00,5,0.10,1,23.00,29.00
0.79,637.00,343.00,147.00,7.00,2,0.10,1,36.00,42.00
0.79,637.00,343.00,147.00,7.00,3,0.10,1,37.00,35.00
0.79,637.00,343.00,147.00,7.00,4,0.10,1,37.00,34.00
0.79,637.00,343.00,147.00,7.00,5,0.10,1,36.00,43.00
0.76,661.50,416.50,122.50,7.00,2,0.10,1,33.00,34.00
0.76,661.50,416.50,122.50,7.00,3,0.10,1,32.00,34.00
0.76,661.50,416.50,122.50,7.00,4,0.10,1,33.00,34.00
0.76,661.50,416.50,122.50,7.00,5,0.10,1,32.00,34.00
0.74,686.00,245.00,220.50,3.50,2,0.10,1,10.00,13.00
0.74,686.00,245.00,220.50,3.50,3,0.10,1,10.00,14.00
0.74,686.00,245.00,220.50,3.50,4,0.10,1,10.00,13.00
0.74,686.00,245.00,220.50,3.50,5,0.10,1,10.00,14.00
0.71,710.50,269.50,220.50,3.50,2,0.10,1,11.00,14.00
0.71,710.50,269.50,220.50,3.50,3,0.10,1,11.00,14.00
0.71,710.50,269.50,220.50,3.50,4,0.10,1,11.00,14.00
0.71,710.50,269.50,220.50,3.50,5,0.10,1,11.00,14.00
0.69,735.00,294.00,220.50,3.50,2,0.10,1,11.00,14.00
0.69,735.00,294.00,220.50,3.50,3,0.10,1,11.00,15.00
0.69,735.00,294.00,220.50,3.50,4,0.10,1,11.00,14.00
0.69,735.00,294.00,220.50,3.50,5,0.10,1,11.00,14.00
