age,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,y
30,married,primary,no,1787,no,no,cellular,79,1,-1,0,unknown,no
33,married,secondary,no,4789,yes,yes,cellular,220,1,339,4,failure,no
35,single,tertiary,no,1350,yes,no,cellular,185,1,330,1,failure,no
30,married,tertiary,no,1476,yes,yes,unknown,199,4,-1,0,unknown,no
59,married,secondary,no,0,yes,no,unknown,226,1,-1,0,unknown,no
35,single,tertiary,no,747,no,no,cellular,141,2,176,3,failure,no
36,married,tertiary,no,307,yes,no,cellular,341,1,330,2,other,no
39,married,secondary,no,147,yes,no,cellular,151,2,-1,0,unknown,no
41,married,tertiary,no,221,yes,no,unknown,57,2,-1,0,unknown,no
43,married,primary,no,-88,yes,yes,cellular,313,1,147,2,failure,no
39,married,secondary,no,9374,yes,no,unknown,273,1,-1,0,unknown,no
43,married,secondary,no,264,yes,no,cellular,113,2,-1,0,unknown,no
36,married,tertiary,no,1109,no,no,cellular,328,2,-1,0,unknown,no
20,single,secondary,no,502,no,no,cellular,261,1,-1,0,unknown,yes
31,married,secondary,no,360,yes,yes,cellular,89,1,241,1,failure,no
40,married,tertiary,no,194,no,yes,cellular,189,2,-1,0,unknown,no
56,married,secondary,no,4073,no,no,cellular,239,5,-1,0,unknown,no
37,single,tertiary,no,2317,yes,no,cellular,114,1,152,2,failure,no
25,single,primary,no,-221,yes,no,unknown,250,1,-1,0,unknown,no
31,married,secondary,no,132,no,no,cellular,148,1,152,1,other,no
38,divorced,unknown,no,0,yes,no,cellular,96,2,-1,0,unknown,no
42,divorced,tertiary,no,16,no,no,cellular,140,3,-1,0,unknown,no
44,single,secondary,no,106,no,no,unknown,109,2,-1,0,unknown,no
44,married,secondary,no,93,no,no,cellular,125,2,-1,0,unknown,no
26,married,tertiary,no,543,no,no,cellular,169,3,-1,0,unknown,no
41,married,tertiary,no,5883,no,no,cellular,182,2,-1,0,unknown,no
55,married,primary,no,627,yes,no,unknown,247,1,-1,0,unknown,no
67,married,unknown,no,696,no,no,telephone,119,1,105,2,failure,no
56,married,secondary,no,784,no,yes,cellular,149,2,-1,0,unknown,no
53,married,secondary,no,105,no,yes,cellular,74,2,-1,0,unknown,no
68,divorced,secondary,no,4189,no,no,telephone,897,2,-1,0,unknown,yes
31,married,secondary,no,171,no,no,cellular,81,3,-1,0,unknown,no
